input,output,instruction
"Artificial Surface 66.44
Water 18.53
Vegetation 11.40
Artificial Surface on Vegetation
Water front right Artificial Surface
",many green trees are around a pond in a park .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.76
",many buildings and green trees are around a pond in a park .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 90.69
Vegetation 7.08
Artificial Surface behind Vegetation
",many green trees and a large pond are in a park surrounded by many buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 91.58
Vegetation 7.89
Artificial Surface behind right Vegetation
",many buildings are near a park with many green trees and a pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.23
",many green trees and a large pond are in a park near some buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 62.71
Water 18.88
Markers & Obstacles 9.46
Artificial Surface behind left Markers & Obstacles
Water to the left of Artificial Surface
",many green trees and a large pond are in a park near some buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 76.65
Markers & Obstacles 11.01
Artificial Surface behind right Markers & Obstacles
",a large pond in a park is near many buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 86.65
Water 5.78
Artificial Surface behind left Water
",many green trees and a pond are in a park near many buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 49.80
Water 39.80
Artificial Surface front left Water
",many buildings are near a park with many green trees and a pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 91.06
Vegetation 5.51
Artificial Surface front left Vegetation
",many green trees are in a park near a river and a road with many cars .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.57
",many green trees and a large pond are in a park near many buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.44
",three roads are around a park with many green trees and a pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 82.11
Water 9.80
Vegetation 6.96
Artificial Surface behind Vegetation
Water front right Vegetation
",several buildings are near a park with many green trees and a pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 88.59
Building 10.50
Artificial Surface behind right Building
",many buildings are near a park with many green trees and a pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 83.77
Building 15.70
Artificial Surface behind right Building
",many buildings are near a park with many green trees and a pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.35
",a park with many green trees and a pond is surrounded by many buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 77.28
Vegetation 11.24
Building 10.63
Artificial Surface behind right Building
Vegetation front left Building
",many buildings and green trees are in a park with several ponds and near a playground .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 67.76
Water 17.79
Vegetation 12.93
Artificial Surface on Vegetation
Water behind right Artificial Surface
",many buildings are near a park with many green trees and a pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 74.67
Vegetation 19.58
Artificial Surface behind right Vegetation
",many buildings are around a park with a pond and near a river .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 90.38
Building 9.56
Artificial Surface behind left Building
",many green trees and a pond are in a park near several buildings and a road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 94.26
",many green trees and a large pond are in a park near many buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.84
",some buildings are near a park with many trees and a large pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 65.65
Water 5.36
Vegetation 24.36
Artificial Surface behind Vegetation
Water front left Vegetation
",a large pond in a park is surrounded by many buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 62.92
Water 18.07
Vehicles 8.52
Markers & Obstacles 6.20
Artificial Surface behind right Markers & Obstacles
Water front left Vehicles
",a large pond with two islands is in a park surrounded by many buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 93.95
",many buildings are around a park with many green trees and a pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 89.73
Vegetation 8.86
Artificial Surface on Vegetation
",on the bank of the river  there is a pond in the park surrounded by residential area .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 78.07
Vegetation 19.81
Artificial Surface behind right Vegetation
",many buildings are around a park with green trees near a river .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 36.51
Water 18.42
Vegetation 42.58
Artificial Surface to the right of Vegetation
Water behind right Artificial Surface
",many green trees and a pond are in a park .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 72.82
Water 8.56
Vegetation 11.76
Artificial Surface behind Vegetation
Water behind left Artificial Surface
",many buildings and some green trees are around a pond in a park .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.56
",this is a lake in the city .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 87.72
Vegetation 6.10
Artificial Surface in front Vegetation
",many buildings are around a large park with many green trees and a pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 94.30
Vegetation 5.30
Artificial Surface behind right Vegetation
","it is green and orange trees and grassland, blue-green lake and gray road, cream-colored path .",Write a short description of a remote sensing image with the following information.
"Artificial Surface 73.75
Water 12.44
Vegetation 9.27
Artificial Surface to the right of Vegetation
Water behind left Vegetation
",this is a park in the city .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 100.00
",this is a park in the city .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.88
",near a residential and a school  a park with trees and three ponds is located opposite some factory buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 84.24
Water 7.46
Markers & Obstacles 6.22
Artificial Surface behind right Markers & Obstacles
Water front right Markers & Obstacles
",some buildings are near a park with two ponds and green trees separated by a curved road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 87.80
Building 5.83
Markers & Obstacles 5.82
Artificial Surface behind right Markers & Obstacles
Building behind left Artificial Surface
",a park with a green lake is close to the residential .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 85.25
Vegetation 12.36
Artificial Surface to the left of Vegetation
","it is green trees and grassland, dark blue buildings, and gray roads .",Write a short description of a remote sensing image with the following information.
"Artificial Surface 64.24
Water 6.44
Vegetation 16.07
Markers & Obstacles 10.56
Artificial Surface behind left Markers & Obstacles
Water behind left Artificial Surface
Vegetation front left Water
",many footpaths stretch across this park which has a pond in it .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 64.92
Vegetation 8.84
Markers & Obstacles 16.69
Artificial Surface behind right Vegetation
Markers & Obstacles behind left Vegetation
",a park with many green trees are near a river .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 75.21
Vegetation 9.73
Markers & Obstacles 6.84
Artificial Surface behind Vegetation
Markers & Obstacles front left Vegetation
",the lake with some lotus is in the center of the park which is full of trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 82.95
Vegetation 7.47
Markers & Obstacles 5.49
Artificial Surface behind right Vegetation
Markers & Obstacles behind right Vegetation
",a park with many green plants are near a river and many buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.29
",many green trees and buildings are in a park with two playgrounds and a pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 86.62
Markers & Obstacles 5.53
Artificial Surface front left Markers & Obstacles
",there are three laked in the l shaped park .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 84.39
Vegetation 11.88
Artificial Surface behind Vegetation
",this is a placeos aerial view .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 54.07
Water 17.83
Vegetation 25.12
Artificial Surface behind Vegetation
Water front right Vegetation
",many buildings are around a park with many green trees and a pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 93.43
",it is a pretty large park sits next to residential communities .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 83.54
Vegetation 13.06
Artificial Surface behind left Vegetation
",a park with many green trees is between a river and a urban area .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.59
",a curved river passes through this green park with several bridges span it .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.36
",opposite some apartment buildings is a park with a circle square in it .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.53
",many buildings are around a park with many green plants and a large pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 93.19
Building 6.81
Artificial Surface front right Building
",the park which is surrounded by the roads contains a lake and many trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 81.97
Building 17.40
Artificial Surface behind right Building
",at the corner of the intersection  there is a park with a circle square in the center near some apartment buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 87.05
Vegetation 6.62
Markers & Obstacles 5.47
Artificial Surface behind right Markers & Obstacles
Vegetation to the left of Artificial Surface
",some buildings are near a park with many green trees and a pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 77.65
Vegetation 19.40
Artificial Surface behind Vegetation
",many buildings and some green trees are in a park with a pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 86.19
Markers & Obstacles 5.73
Artificial Surface behind right Markers & Obstacles
",this is a lake in the city .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 88.15
",the park with forest contains a lake in the center .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 59.13
Water 10.66
Vegetation 24.75
Artificial Surface to the left of Vegetation
Water behind right Vegetation
","it is a gray, dark gray and brown square, blue-green lake, gray road and green trees and grassland .",Write a short description of a remote sensing image with the following information.
"Artificial Surface 94.91
",many green trees and some buildings are in a park with a pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.52
",the park with sparse trees is next to tall buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 60.31
Natural Surface 6.99
Vegetation 24.32
Building 7.78
Artificial Surface behind Vegetation
Natural Surface behind right Artificial Surface
Building behind left Artificial Surface
",three roads and several buildings are around a pond in a park .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.13
",many buildings are in two sides of a park .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 78.14
Vegetation 18.53
Artificial Surface behind left Vegetation
",many buildings are around a park with a large pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 66.13
Vegetation 26.15
Artificial Surface behind Vegetation
",a river is near a park with many green trees and a pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.58
",many buildings are around a park with green trees and ponds near a playground .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 70.79
Building 29.12
Artificial Surface front right Building
",many green trees and buildings are in a large park with ponds .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 79.96
Water 8.13
Vegetation 5.77
Artificial Surface behind Vegetation
Water behind right Artificial Surface
",a river and some buildings are near a park with many green trees and a pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 57.87
Water 18.85
Vegetation 13.50
Markers & Obstacles 6.58
Artificial Surface to the right of Vegetation
Water behind left Vegetation
Markers & Obstacles front left Vegetation
",a river is near a park with many green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 56.05
Vegetation 43.56
Artificial Surface to the right of Vegetation
",many buildings and green trees are in a park .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 72.92
Vegetation 19.97
Artificial Surface behind Vegetation
",many red buildings are in two sides of a park with many green trees and a pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.31
",a park with many green trees and a pond is surrounded by many green trees and buildings and a road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 83.25
Vegetation 15.02
Artificial Surface behind right Vegetation
",a park with many green trees and a pond in it is surrounded by river .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 60.80
Vegetation 39.09
Artificial Surface behind left Vegetation
",two roads and a river are around a square park with many small green trees and a irregular pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 89.52
",some buildings are near a park with a pond and many green plants .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 57.48
Vegetation 28.54
Markers & Obstacles 7.59
Artificial Surface behind left Vegetation
Markers & Obstacles front right Vegetation
",many buildings are near a park with many green trees and a black pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 92.79
",many gray white buildings are in two sides of a park with many green trees and a pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 68.29
Vegetation 25.90
Artificial Surface to the left of Vegetation
",many buildings and a road semi-surround a park with many green trees and a pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 92.78
Vegetation 5.14
Artificial Surface behind Vegetation
",many crowded small buildings are around a park with many green trees and several ponds .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 80.39
Vegetation 10.35
Markers & Obstacles 5.19
Artificial Surface behind Vegetation
Markers & Obstacles front left Vegetation
",many buildings are around a park with green trees and meadows .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.24
",many buildings are around a park with many green trees and two ponds .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 59.55
Vegetation 38.30
Artificial Surface to the left of Vegetation
",a large park with green trees and a pond is near several roads .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.70
",some buildings are in two sides of a park with many green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 84.26
Vegetation 11.30
Artificial Surface behind Vegetation
",many buildings are around a park with green trees and a pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.59
",some buildings are around a park with many green trees and a pond near a river .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 52.82
Water 11.83
Vegetation 33.73
Artificial Surface behind Vegetation
Water front right Vegetation
",many buildings and a river are around a park with many green trees and a pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 36.46
Natural Surface 5.94
Water 6.40
Vegetation 48.50
Artificial Surface to the left of Vegetation
Natural Surface behind left Artificial Surface
Water behind right Natural Surface
",many buildings are near a park with many green plants and a pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.59
",many green plants and several buildings are in a park with a pond and a playground .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 66.09
Vegetation 31.50
Artificial Surface on Vegetation
",many green trees and some buildings are in a park near a river .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.62
",many green trees and urban areas are in two sides of a river with branches .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 89.31
",four roads are around a park with many green trees and several buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.62
",some buildings are near a park with a large pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.44
",many green trees and some buildings are near a road with cars .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.33
",many buildings are near a park with many green trees and a pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 94.19
",many buildings are around a park with green trees and a pond near a river .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 75.93
Vegetation 10.63
Markers & Obstacles 6.46
Artificial Surface front right Markers & Obstacles
Vegetation front right Artificial Surface
",a park with many green trees and a pond is near some buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 86.26
Vegetation 5.39
Artificial Surface behind Vegetation
",many green trees and some buildings are around a pond in a park near a river .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 80.30
Vegetation 11.56
Artificial Surface behind left Vegetation
",some buildings are in two sides of a park with many green trees and a pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 93.49
",a park with lakes and trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.84
",many green trees and a playground are in a park near a road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 92.65
",many green trees and buildings are around an irregular pond in a park .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.05
",many green trees and some buildings are around a pond in a park .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 90.82
Vegetation 6.60
Artificial Surface behind left Vegetation
",a lot of green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.68
",many buildings and green trees are around a pond in a park near a river .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.18
",many buildings and green trees are around several separated ponds in a park .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 87.16
Building 6.69
Artificial Surface front right Building
",many buildings are in two sides of a park with many green trees and an irregular pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 62.98
Vegetation 36.19
Artificial Surface on Vegetation
",some buildings are around a park with many green trees and a pond near a road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 85.82
Vegetation 13.63
Artificial Surface behind left Vegetation
",many buildings are around a park with a large pond and many green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 85.92
Vegetation 13.37
Artificial Surface front left Vegetation
",there are many green trees around a pool .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.97
",some buildings and many green trees are around a pond with an island .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 89.16
Vegetation 8.71
Artificial Surface behind right Vegetation
",many green trees are in a park near some red buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.71
",many buildings are around a park with a large pond and green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 94.58
",many buildings and green trees are in a park .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.76
",many green trees are around an irregular pond in a park near a river .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 88.34
Vegetation 9.27
Artificial Surface behind Vegetation
",many buildings and green trees are around an irregular pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.67
",many buildings are near a park with green trees and two ponds .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 94.70
",many cars are in a road near a park with many green trees and several buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.84
",many buildings are around a park with a large pond with an island with many green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 90.98
",some buildings are near a park with many green trees and a pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 94.26
",a park with a pond and many green trees is near some buildings and a river .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 83.67
Vegetation 14.53
Artificial Surface to the right of Vegetation
",many buildings are around a park with some green trees and two ponds .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.62
",many green trees and a pond are in a park near a road and some buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 80.75
Building 18.55
Artificial Surface front right Building
",many building are around a park with many green trees and a pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 85.90
Vegetation 13.25
Artificial Surface front left Vegetation
",several buildings are near a park with many green trees and a pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 93.86
",a park with some green plants and buildings is near a piece of water .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 68.28
Vegetation 27.61
Artificial Surface behind Vegetation
",a pond and a playground are surrounded by many green trees in a park near two crossed roads .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 88.33
Vegetation 9.59
Artificial Surface on Vegetation
",many green trees and some buildings are around a large park near a road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 84.01
Vegetation 7.58
Markers & Obstacles 6.61
Artificial Surface behind Vegetation
Markers & Obstacles behind right Artificial Surface
",many buildings are around a park with many green trees and several ponds .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.16
",a big tree and a river .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 88.04
Vegetation 9.00
Artificial Surface front right Vegetation
",many green trees and some buildings are around a pond in a park near a road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.53
",many buildings are near a park with many green trees and a pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 91.44
",some buildings are near a park with many green trees and a large pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.31
",many green trees and some buildings are in a park .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.87
",some buildings are near a park with many green trees and a pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 58.67
Vegetation 37.37
Artificial Surface behind Vegetation
",a park with green trees and a large pond is between a road and a river near a playground .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 92.53
",most of the park is the green area .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 57.82
Vegetation 32.38
Artificial Surface to the left of Vegetation
",the resident areas besides the dark green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.49
",the playground and lush trees are on the side of the road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 72.63
Vegetation 25.84
Artificial Surface front right Vegetation
",many islands are in the lake surrounded by green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.87
",the green area is surrounded by houses and is sandwiched in the middle of the road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.87
",many buildings are around a park with many green trees and a playground .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 85.05
Vegetation 10.24
Artificial Surface behind Vegetation
",many buildings are in two sides of a park with many green trees and several ponds .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.44
",two islands in the lake surrounded by green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.20
",a park with many green trees and several ponds is between a river and some buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 66.73
Vegetation 29.10
Artificial Surface behind left Vegetation
",the lake is surrounded by many thick trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 93.39
Markers & Obstacles 6.21
Artificial Surface behind left Markers & Obstacles
",an island is in the lake surrounded by green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.64
",many buildings are around a park with many green trees and a pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.44
",three roads and a river are around a park with many green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.98
",many buildings are near a park with many green trees and a pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.94
",a park with many green trees and a square is between a river and a road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.63
",a house is on the island and a ferris wheel is in the park .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 91.80
Vegetation 6.27
Artificial Surface front right Vegetation
",many buildings are around a park with many green trees and a pond near two playgrounds .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.83
",an island are in the middle of the lake .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 77.50
Vegetation 16.29
Artificial Surface behind right Vegetation
",a house is on the island and a ferris wheel is in the park .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.72
",two islands in the lake surrounded by green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 85.73
Vegetation 9.56
Artificial Surface on Vegetation
",the playgrounds are in the residential areas .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 92.24
Vegetation 6.03
Artificial Surface behind right Vegetation
",many buildings are around a park with many green trees and a pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.84
",the resident areas besides the dark green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.49
",the playgrounds are in the residential areas .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.41
",a house is on the island and a ferris wheel is in the park .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.49
",many buildings are around a park with many green trees and a pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 82.44
Building 15.29
Artificial Surface front left Building
",the lake is surrounded by many thick trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.30
",two islands in the lake surrounded by green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 94.06
",a house is on the island and a ferris wheel is in the park .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.47
",some buildings are around a park with many green trees and an irregular pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.28
",some buildings are near a park with many green trees and a pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.76
",here we can see an amusement park with some pools .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 71.35
Vegetation 23.16
Artificial Surface behind Vegetation
",there are many trees and grass around the lake .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 85.51
Water 11.41
Artificial Surface front left Water
",a house is on the island and a ferris wheel is in the park .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 93.00
Vegetation 5.59
Artificial Surface to the right of Vegetation
",there are many trees around a white building .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.85
",the park is very broad .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 92.64
Vegetation 5.49
Artificial Surface to the left of Vegetation
",near the park is a residential area .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 92.47
",there is a wide river in front of the park .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 66.79
Water 13.00
Vegetation 19.84
Artificial Surface behind right Vegetation
Water behind left Artificial Surface
",an artificial lake was built in the park .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.31
",the park is surrounded by residential areas .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.32
",there is a river around the vast park .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 72.09
Building 26.95
Artificial Surface behind right Building
",a large number of tall buildings have been built near the park .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.57
",there are many residential areas near the park .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.04
",a circle path is next to a lake in the park .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.66
",many densely populated areas have been built near the park .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.31
",there are many tall buildings near the park .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.94
",there are many man-made lakes in the park .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.85
",the park is on the right side of the river .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 81.70
Vegetation 15.33
Artificial Surface to the right of Vegetation
",many trees are planted around the lake .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.73
",closing to the park are densely populated areas .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 76.47
Vegetation 22.82
Artificial Surface to the right of Vegetation
",the middle of the land is a very big park .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.39
",there is a big lake in the middle of the land .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.34
",there are many trees and grass in the park .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 93.16
",many green trees are planted in the park .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.80
",there is a large artificial lake in the park .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.12
",a lot of trees are planted in the park .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.69
",many green trees are planted beside the road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.05
",there are lots of trees and grass in the park .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.23
",there is a long river around the park .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 92.34
",the park was full of large trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 89.09
Vegetation 10.37
Artificial Surface on Vegetation
",the park covers a large area and has built many roads .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 91.00
Vegetation 8.50
Artificial Surface behind left Vegetation
",many trees are planted around the park .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 90.16
Vegetation 8.91
Artificial Surface behind Vegetation
",some houses and artificial lakes were built in the park .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.81
",the bell like park with a lake and a whit block is close to the sea .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 90.44
Vegetation 5.96
Artificial Surface front right Vegetation
",many tall buildings have been built near the park .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 94.21
",there is an artificial lake in the park .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.57
",we can see a park with amusement park near the road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.61
",there is a vast lake in the park .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.11
",a magnificent park is built beside the road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.09
",there is a big park beside the broad road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 94.38
",many curved sideworks are in the park .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.46
",several blue lakes are in the beautiful park .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 74.58
Vegetation 22.90
Artificial Surface behind Vegetation
",many tall buildings are built in the park .,Write a short description of a remote sensing image with the following information.
